Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.030	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.032661
0.040	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	0.315589
0.050	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.060	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.070	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.141778	-0.175301	0.315589
0.080	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.192211	-0.032661
0.090	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.141778	-0.496582	-0.014332
0.100	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	0.297260
0.110	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.190745	-0.175301	-0.032661
0.120	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.192211	0.297260
0.130	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.479673	-0.032661
0.140	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	-0.032661
0.150	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.160	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.192211	-0.032661
0.170	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	-0.032661
0.180	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.190	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.050990
0.200	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.032661
0.210	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.220	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
0.230	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	-0.050990
0.240	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.479673	0.333918
0.250	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
0.260	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.014332
0.270	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.280	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	-0.032661
0.290	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
0.300	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	0.315589
0.310	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.479673	-0.014332
0.320	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	-0.032661
0.330	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.032661
0.340	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.175301	-0.032661
0.350	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.192211	-0.032661
0.360	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	0.315589
0.370	0.000000	0.000000	0.000000	0.000000	-0.979344	-0.158100	-0.496582	-0.032661
0.380	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	-0.175301	-0.032661
0.390	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
0.400	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.175301	-0.032661
0.410	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.014332
0.420	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.496582	-0.032661
0.430	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.440	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.175301	-0.032661
0.450	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	-0.032661
0.460	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	0.315589
0.470	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.032661
0.480	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.032661
0.490	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.479673	-0.032661
0.500	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.050990
0.510	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
0.520	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	-0.050990
0.530	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.540	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.479673	-0.032661
0.550	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.462763	0.297260
0.560	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.032661
0.570	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	0.297260
0.580	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.590	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.158392	-0.050990
0.600	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.315589
0.610	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	-0.032661
0.620	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
0.630	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.032661
0.640	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	-0.032661
0.650	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.141482	-0.032661
0.660	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.014332
0.670	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.003997
0.680	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.032661
0.690	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.050990
0.700	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.032661
0.710	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	-0.032661
0.720	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.297260
0.730	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.740	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.192211	-0.032661
0.750	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.050990
0.760	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.141778	-0.158392	-0.014332
0.770	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
0.780	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.141778	-0.158392	-0.050990
0.790	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.158392	-0.032661
0.800	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.175301	-0.032661
0.810	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
0.820	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.479673	-0.050990
0.830	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
0.840	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.479673	-0.032661
0.850	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.297260
0.860	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	0.297260
0.870	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.479673	0.297260
0.880	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	0.297260
0.890	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.315589
0.900	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	0.278931
0.910	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.479673	-0.050990
0.920	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.479673	-0.032661
0.930	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.032661
0.940	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
0.950	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.479673	-0.050990
0.960	0.000000	0.000000	0.000000	0.000000	-0.932744	-0.158100	-0.158392	-0.050990
0.970	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
0.980	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.462763	0.297260
0.990	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	0.297260
1.000	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.032661
1.010	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.315589
1.020	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	0.297260
1.030	0.000000	0.000000	0.000000	0.000000	-0.932744	-0.174423	-0.479673	-0.032661
1.040	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
1.050	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.141482	-0.032661
1.060	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.032661
1.070	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.050990
1.080	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.479673	0.315589
1.090	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	0.315589
1.100	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
1.110	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.315589
1.120	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	0.297260
1.130	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
1.140	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.479673	-0.032661
1.150	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.479673	-0.014332
1.160	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
1.170	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	0.315589
1.180	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.479673	0.315589
1.190	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	0.333918
1.200	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.014332
1.210	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.141482	-0.014332
1.220	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	-0.032661
1.230	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.479673	-0.014332
1.240	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.141778	-0.158392	-0.032661
1.250	0.000000	0.000000	0.000000	0.000000	-0.932744	-0.158100	-0.158392	0.297260
1.260	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.050990
1.270	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
1.280	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	0.315589
1.290	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
1.300	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
1.310	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	0.297260
1.320	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
1.330	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.050990
1.340	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
1.350	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
1.360	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.175301	-0.014332
1.370	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.014332
1.380	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.315589
1.390	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.014332
1.400	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.462763	0.315589
1.410	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
1.420	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.479673	-0.032661
1.430	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.479673	0.315589
1.440	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.462763	-0.050990
1.450	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
1.460	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	0.297260
1.470	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
1.480	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.050990
1.490	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.032661
1.500	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	-0.032661
1.510	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.050990
1.520	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	-0.032661
1.530	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.050990
1.540	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	-0.032661
1.550	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.050990
1.560	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.175301	0.333918
1.570	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.468224	-0.175301	-0.032661
1.580	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.479673	-0.032661
1.590	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.479673	-0.050990
1.600	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.014332
1.610	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	0.315589
1.620	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
1.630	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.315589
1.640	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.032661
1.650	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
1.660	0.000000	0.000000	0.000000	0.000000	-0.932744	-0.158100	-0.462763	-0.050990
1.670	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.315589
1.680	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.297260
1.690	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.462763	-0.032661
1.700	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
1.710	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.032661
1.720	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
1.730	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.032661
1.740	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.175301	-0.050990
1.750	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.141482	-0.050990
1.760	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.032661
1.770	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.297260
1.780	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.297260
1.790	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
1.800	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	-0.032661
1.810	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.032661
1.820	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	-0.014332
1.830	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.315589
1.840	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.462763	-0.032661
1.850	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
1.860	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	0.315589
1.870	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
1.880	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.014332
1.890	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.175301	-0.032661
1.900	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
1.910	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
1.920	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.141482	-0.032661
1.930	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.032661
1.940	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	0.297260
1.950	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.158100	-0.158392	-0.032661
1.960	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.462763	-0.050990
1.970	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.050990
1.980	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
1.990	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.141482	0.315589
2.000	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	-0.032661
2.010	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
2.020	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
2.030	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.158392	-0.032661
2.040	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.141482	0.297260
2.050	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.141482	-0.032661
2.060	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.141482	-0.032661
2.070	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.141482	-0.032661
2.080	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.315589
2.090	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.445854	-0.032661
2.100	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
2.110	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.141778	-0.158392	-0.032661
2.120	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
2.130	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.462763	-0.032661
2.140	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.462763	0.297260
2.150	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.050990
2.160	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.158392	-0.050990
2.170	0.000000	0.000000	0.000000	0.000000	-1.227877	-0.174423	-0.158392	-0.032661
2.180	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.032661
2.190	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	-0.175301	-0.032661
2.200	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.141482	-0.032661
2.210	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.141482	0.315589
2.220	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.141482	-0.014332
2.230	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.462763	-0.050990
2.240	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.141482	-0.050990
2.250	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
2.260	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	-0.158392	-0.032661
