Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	4.597125	5.685275	6.047401	6.455786
0.030	0.000000	0.000000	0.000000	0.000000	4.581591	5.685275	6.047401	6.474115
0.040	0.000000	0.000000	0.000000	0.000000	3.136991	4.461104	5.117377	5.099444
0.050	0.000000	0.000000	0.000000	0.000000	1.676857	2.894166	3.561702	3.376523
0.060	0.000000	0.000000	0.000000	0.000000	0.511857	1.686317	2.022936	1.671931
0.070	0.000000	0.000000	0.000000	0.000000	-0.373544	0.739625	0.788541	0.645510
0.080	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.158392	0.315589
0.090	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.767134	-0.014332
0.100	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.462763	-0.032661
0.110	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.462763	-0.014332
0.120	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.479673	-0.014332
0.130	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.462763	-0.014332
0.140	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.462763	-0.032661
0.150	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.158392	-0.032661
0.160	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.462763	-0.032661
0.170	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.315589
0.180	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.462763	-0.032661
0.190	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.014332
0.200	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.014332
0.210	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.479673	-0.014332
0.220	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.175301	0.315589
0.230	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.462763	-0.032661
0.240	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.479673	0.297260
0.250	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.175301	-0.032661
0.260	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.462763	-0.032661
0.270	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.014332
0.280	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.462763	-0.032661
0.290	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.462763	-0.014332
0.300	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	-0.032661
0.310	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.190745	-0.158392	-0.032661
0.320	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.315589
0.330	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.462763	-0.032661
0.340	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.462763	-0.032661
0.350	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.479673	-0.014332
0.360	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.158392	0.315589
0.370	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.462763	-0.014332
0.380	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.462763	-0.032661
0.390	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.462763	0.315589
0.400	0.000000	0.000000	0.000000	0.000000	-0.979344	-0.174423	-0.462763	-0.032661
0.410	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.158392	-0.014332
0.420	0.000000	0.000000	0.000000	0.000000	-0.979344	-0.174423	-0.462763	0.315589
0.430	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.141482	-0.014332
0.440	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.462763	-0.014332
0.450	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.141482	-0.032661
0.460	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.141482	0.315589
0.470	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	0.315589
0.480	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.445854	-0.014332
0.490	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	-0.462763	-0.014332
0.500	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.190745	-0.158392	-0.014332
0.510	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.032661
0.520	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.462763	-0.014332
0.530	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.141482	0.315589
0.540	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.141482	-0.014332
0.550	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	-0.032661
0.560	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	0.333918
0.570	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.175301	-0.014332
0.580	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.032661
0.590	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.462763	-0.014332
0.600	0.000000	0.000000	0.000000	0.000000	-1.258944	0.119378	-0.158392	-0.032661
0.610	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.462763	0.315589
0.620	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.141482	-0.032661
0.630	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.462763	-0.032661
0.640	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.462763	0.315589
0.650	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	-0.014332
0.660	0.000000	0.000000	0.000000	0.000000	-0.979344	0.119378	-0.462763	-0.014332
0.670	0.000000	0.000000	0.000000	0.000000	-0.979344	0.119378	-0.175301	0.003997
0.680	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.158100	-0.158392	0.315589
0.690	0.000000	0.000000	0.000000	0.000000	-1.258944	0.152023	-0.141482	0.003997
0.700	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.462763	-0.032661
0.710	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.479673	-0.014332
0.720	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.158392	-0.032661
0.730	0.000000	0.000000	0.000000	0.000000	-0.979344	0.135701	-0.445854	-0.032661
0.740	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.141482	-0.014332
0.750	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.462763	-0.014332
0.760	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.462763	0.315589
0.770	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.014332
0.780	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.158392	0.315589
0.790	0.000000	0.000000	0.000000	0.000000	-1.258944	0.119378	-0.158392	-0.014332
0.800	0.000000	0.000000	0.000000	0.000000	-0.932744	0.135701	-0.141482	-0.032661
0.810	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.174423	-0.462763	-0.032661
0.820	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.141482	0.315589
0.830	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	-0.032661
0.840	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.479673	-0.014332
0.850	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.462763	-0.014332
0.860	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	-0.158392	-0.032661
0.870	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.479673	-0.032661
0.880	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.158392	0.003997
0.890	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.462763	-0.032661
0.900	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.190745	-0.158392	-0.014332
0.910	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.158100	-0.158392	0.333918
0.920	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	-0.014332
0.930	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.190745	-0.158392	-0.032661
0.940	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.174423	-0.141482	-0.032661
0.950	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.141482	0.315589
0.960	0.000000	0.000000	0.000000	0.000000	-1.243411	-0.174423	-0.462763	0.315589
0.970	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.158392	-0.014332
0.980	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.462763	0.315589
0.990	0.000000	0.000000	0.000000	0.000000	-1.258944	-0.174423	-0.158392	-0.014332
1.000	0.000000	0.000000	0.000000	0.000000	-0.963811	-0.158100	-0.462763	-0.032661
1.010	12.916947	12.916947	12.916947	12.916947	-1.258944	-0.174423	-0.158392	-0.032661
1.020	12.949737	12.949737	12.949737	12.949737	-1.258944	-0.174423	-0.462763	0.315589
1.030	12.460785	12.460785	12.460785	12.460785	-0.963811	-0.174423	-0.158392	0.333918
1.040	11.469788	11.469788	11.469788	11.469788	-0.963811	-0.174423	-0.158392	-0.014332
1.050	10.016675	10.016675	10.016675	10.016675	-0.963811	0.135701	-0.141482	0.315589
1.060	8.159991	8.159991	8.159991	8.159991	0.496323	1.686317	1.092912	1.323681
1.070	5.974542	5.974542	5.974542	5.974542	1.971990	2.600365	2.631678	3.724773
1.080	3.548380	3.548380	3.548380	3.548380	3.727258	4.150981	4.796096	5.759286
1.090	0.979253	0.979253	0.979253	0.979253	4.892258	5.995399	6.351772	7.482207
1.100	-1.629327	-1.629327	-1.629327	-1.629327	5.762125	7.219569	7.907447	9.168470
1.110	-4.172262	-4.172262	-4.172262	-4.172262	6.647525	7.529693	8.837471	10.543141
1.120	-6.547097	-6.547097	-6.547097	-6.547097	6.057259	7.252214	8.516190	9.846641
1.130	-8.658151	-8.658151	-8.658151	-8.658151	4.597125	6.615645	7.298705	8.490299
1.140	-10.420368	-10.420368	-10.420368	-10.420368	3.136991	5.375152	6.030491	6.785707
1.150	-11.762749	-11.762749	-11.762749	-11.762749	1.366190	3.514412	4.187354	4.732865
1.160	-12.631211	-12.631211	-12.631211	-12.631211	-0.078410	1.980118	2.006026	2.350102
1.170	-12.990763	-12.990763	-12.990763	-12.990763	-2.128811	-0.174423	0.145979	-0.032661
1.180	-12.826918	-12.826918	-12.826918	-12.826918	-4.474345	-2.328963	-2.339719	-2.085503
1.190	-12.146278	-12.146278	-12.146278	-12.146278	-6.509213	-4.483504	-4.825418	-4.449937
1.200	-10.976266	-10.976266	-10.976266	-10.976266	-8.559613	-6.964490	-6.989836	-7.180950
1.210	-9.364021	-9.364021	-9.364021	-9.364021	-10.905147	-9.119031	-9.154254	-9.875305
1.220	-7.374501	-7.374501	-7.374501	-7.374501	-12.660415	-10.979771	-11.944325	-12.276397
1.230	-5.087863	-5.087863	-5.087863	-5.087863	-13.545815	-12.497743	-13.178719	-13.651068
1.240	-2.596235	-2.596235	-2.596235	-2.596235	-13.530282	-13.721914	-13.178719	-13.321147
1.250	-0.000006	-0.000006	-0.000006	-0.000006	-12.940015	-14.358482	-12.569977	-13.321147
1.260	2.596224	2.596224	2.596224	2.596224	-11.495414	-13.428113	-11.639953	-11.946476
1.270	5.087852	5.087852	5.087852	5.087852	-10.314881	-12.807866	-10.084278	-9.893634
1.280	7.374492	7.374492	7.374492	7.374492	-8.559613	-11.273572	-8.224231	-8.207371
1.290	9.364013	9.364013	9.364013	9.364013	-6.804346	-9.445477	-6.347275	-5.806279
1.300	10.976260	10.976260	10.976260	10.976260	-4.769479	-7.878538	-4.504137	-3.441845
1.310	12.146274	12.146274	12.146274	12.146274	-2.703545	-5.723997	-2.018439	-1.389003
1.320	12.826916	12.826916	12.826916	12.826916	-0.373544	-3.569457	0.145979	1.342010
1.330	12.990763	12.990763	12.990763	12.990763	1.661324	-1.414916	2.327307	4.073023
1.340	12.631214	12.631214	12.631214	12.631214	3.727258	0.445824	5.117377	6.785707
1.350	11.762754	11.762754	11.762754	11.762754	6.057259	2.910488	7.264886	9.516720
1.360	10.420374	10.420374	10.420374	10.420374	8.402793	5.375152	9.446213	11.899483
1.370	8.658159	8.658159	8.658159	8.658159	9.862927	7.546015	11.306260	13.604075
1.380	6.547107	6.547107	6.547107	6.547107	9.862927	9.684233	11.931912	13.604075
1.390	4.172273	4.172273	4.172273	4.172273	10.142527	10.614603	12.236284	13.604075
1.400	1.629338	1.629338	1.629338	1.629338	9.847393	10.941049	11.931912	13.604075
1.410	-0.979242	-0.979242	-0.979242	-0.979242	8.977526	11.234850	11.627541	11.881154
1.420	-3.548369	-3.548369	-3.548369	-3.548369	7.517392	10.614603	9.767494	10.194891
1.430	-5.974533	-5.974533	-5.974533	-5.974533	6.057259	9.374110	8.516190	8.820220
1.440	-8.159983	-8.159983	-8.159983	-8.159983	4.301991	7.856138	6.656143	6.437457
1.450	-10.016668	-10.016668	-10.016668	-10.016668	2.546724	5.995399	4.813006	4.402944
1.460	-11.469783	-11.469783	-11.469783	-11.469783	0.806990	4.150981	2.631678	2.020181
1.470	-12.460781	-12.460781	-12.460781	-12.460781	-1.538544	1.996440	0.450351	-0.692503
1.480	-12.949736	-12.949736	-12.949736	-12.949736	-3.884078	-0.174423	-2.018439	-3.056937
1.490	-12.916948	-12.916948	-12.916948	-12.916948	-5.934479	-2.639087	-4.504137	-5.146437
1.500	-12.363737	-12.363737	-12.363737	-12.363737	-7.984880	-4.793627	-6.989836	-8.207371
1.510	-11.312392	-11.312392	-11.312392	-11.312392	-10.019747	-7.274614	-9.154254	-10.590134
1.520	-9.805272	-9.805272	-9.805272	-9.805272	-12.054615	-9.412832	-11.639953	-12.954568
1.530	-7.903099	-7.903099	-7.903099	-7.903099	-13.219615	-11.273572	-12.874348	-13.962660
1.540	-5.682511	-5.682511	-5.682511	-5.682511	-13.235148	-13.117989	-12.874348	-13.962660
1.550	-3.232975	-3.232975	-3.232975	-3.232975	-13.235148	-14.064681	-12.874348	-13.962660
1.560	-0.653183	-0.653183	-0.653183	-0.653183	-12.070148	-13.428113	-12.569977	-12.972897
1.570	1.952926	1.952926	1.952926	1.952926	-11.479881	-12.807866	-11.014301	-11.286634
1.580	4.480351	4.480351	4.480351	4.480351	-9.429480	-11.583695	-9.171164	-9.563713
1.590	6.827264	6.827264	6.827264	6.827264	-8.280013	-10.033079	-8.224231	-7.529200
1.600	8.899107	8.899107	8.899107	8.899107	-6.214079	-8.515107	-6.059813	-5.458029
1.610	10.612406	10.612406	10.612406	10.612406	-4.458812	-6.654367	-3.878485	-3.441845
1.620	11.898132	11.898132	11.898132	11.898132	-2.423944	-4.483504	-1.714067	-0.710832
1.630	12.704484	12.704484	12.704484	12.704484	-0.373544	-2.328963	0.450351	2.001852
1.640	12.998973	12.998973	12.998973	12.998973	1.692390	-0.174423	2.936050	4.384615
1.650	12.769736	12.769736	12.769736	12.769736	4.022391	2.290241	5.421749	6.785707
1.660	12.026006	12.026006	12.026006	12.026006	6.367925	4.150981	7.586167	9.498391
1.670	10.797751	10.797751	10.797751	10.797751	8.402793	6.599323	9.767494	11.569562
1.680	9.134455	9.134455	9.134455	9.134455	10.158060	8.770186	12.253193	13.585746
1.690	7.103133	7.103133	7.103133	7.103133	11.618194	10.320802	13.791959	14.612167
1.700	4.785626	4.785626	4.785626	4.785626	11.323060	11.855096	13.487588	14.612167
1.710	2.275307	2.275307	2.275307	2.275307	11.027927	12.475343	13.166307	13.933996
1.720	-0.326684	-0.326684	-0.326684	-0.326684	9.878460	12.475343	11.610631	12.925904
1.730	-2.915512	-2.915512	-2.915512	-2.915512	8.402793	11.855096	10.697518	11.532904
1.740	-5.386875	-5.386875	-5.386875	-5.386875	7.222259	10.320802	8.820561	9.168470
1.750	-7.641202	-7.641202	-7.641202	-7.641202	5.187392	8.786508	7.281795	7.463878
1.760	-9.587665	-9.587665	-9.587665	-9.587665	3.136991	7.252214	5.100468	5.099444
1.770	-11.147842	-11.147842	-11.147842	-11.147842	1.381724	5.081351	2.936050	2.698352
1.780	-12.258874	-12.258874	-12.258874	-12.258874	-0.963811	2.926810	0.450351	0.315589
1.790	-12.875997	-12.875997	-12.875997	-12.875997	-2.998678	0.755947	-1.714067	-2.067174
1.800	-12.974348	-12.974348	-12.974348	-12.974348	-5.344212	-1.708717	-3.895395	-4.779858
1.810	-12.549963	-12.549963	-12.549963	-12.549963	-7.394613	-4.173381	-6.364184	-7.510871
1.820	-11.619942	-11.619942	-11.619942	-11.619942	-9.445014	-6.654367	-8.849883	-9.893634
1.830	-10.221755	-10.221755	-10.221755	-10.221755	-11.200281	-8.498785	-11.318672	-11.946476
1.840	-8.411734	-8.411734	-8.411734	-8.411734	-12.349748	-10.963449	-13.178719	-13.321147
1.850	-6.262805	-6.262805	-6.262805	-6.262805	-13.235148	-12.514065	-14.734395	-14.329239
1.860	-3.861548	-3.861548	-3.861548	-3.861548	-12.940015	-13.117989	-14.751304	-14.329239
1.870	-1.304711	-1.304711	-1.304711	-1.304711	-12.644881	-14.048359	-13.804371	-13.651068
1.880	1.304694	1.304694	1.304694	1.304694	-11.479881	-13.117989	-12.874348	-12.276397
1.890	3.861533	3.861533	3.861533	3.861533	-10.314881	-12.497743	-11.318672	-10.571805
1.900	6.262790	6.262790	6.262790	6.262790	-8.559613	-10.947126	-9.475535	-8.518963
1.910	8.411721	8.411721	8.411721	8.411721	-7.099479	-9.102709	-7.615488	-6.502779
1.920	10.221744	10.221744	10.221744	10.221744	-5.049079	-7.878538	-5.451070	-4.120016
1.930	11.619935	11.619935	11.619935	11.619935	-2.998678	-5.430196	-3.269743	-1.737253
1.940	12.549959	12.549959	12.549959	12.549959	-1.243411	-3.553134	-1.105325	0.993760
1.950	12.974347	12.974347	12.974347	12.974347	1.071057	-1.398594	1.397284	3.724773
1.960	12.876000	12.876000	12.876000	12.876000	3.152524	0.755947	3.866073	6.089207
1.970	12.258880	12.258880	12.258880	12.258880	5.762125	2.910488	6.030491	8.820220
1.980	11.147851	11.147851	11.147851	11.147851	7.812526	5.358830	8.516190	10.873062
1.990	9.587677	9.587677	9.587677	9.587677	9.288193	7.546015	10.376237	12.925904
2.000	7.641215	7.641215	7.641215	7.641215	10.142527	9.700556	12.236284	13.237496
2.010	5.386891	5.386891	5.386891	5.386891	10.748327	10.941049	13.487588	13.585746
2.020	2.915529	2.915529	2.915529	2.915529	10.158060	11.251172	13.166307	13.604075
2.030	0.326700	0.326700	0.326700	0.326700	9.862927	11.544973	12.557564	12.229404
2.040	-2.275291	-2.275291	-2.275291	-2.275291	8.402793	11.234850	11.323170	10.873062
2.050	-4.785611	-4.785611	-4.785611	-4.785611	7.237792	9.994357	10.071865	9.516720
2.060	-7.103119	-7.103119	-7.103119	-7.103119	5.482525	8.443740	8.194909	7.115628
2.070	-9.134443	-9.134443	-9.134443	-9.134443	3.432124	6.925768	6.334862	5.429365
2.080	-10.797742	-10.797742	-10.797742	-10.797742	1.676857	5.081351	4.153535	3.046602
2.090	-12.026000	-12.026000	-12.026000	-12.026000	-0.078410	2.910488	2.006026	0.645510
2.100	-12.769733	-12.769733	-12.769733	-12.769733	-2.703545	0.755947	-0.192211	-1.737253
2.110	-12.998974	-12.998974	-12.998974	-12.998974	-4.753945	-1.414916	-2.965371	-4.449937
2.120	-12.704488	-12.704488	-12.704488	-12.704488	-6.804346	-3.879580	-5.451070	-6.832700
2.130	-11.898139	-11.898139	-11.898139	-11.898139	-9.149880	-6.327922	-7.615488	-9.563713
2.140	-10.612416	-10.612416	-10.612416	-10.612416	-11.479881	-8.482462	-10.101187	-11.946476
2.150	-8.899119	-8.899119	-8.899119	-8.899119	-12.070148	-10.653325	-11.944325	-12.954568
2.160	-6.827278	-6.827278	-6.827278	-6.827278	-12.660415	-12.807866	-12.569977	-13.302818
2.170	-4.480367	-4.480367	-4.480367	-4.480367	-12.940015	-14.064681	-13.178719	-13.302818
2.180	-1.952942	-1.952942	-1.952942	-1.952942	-12.054615	-13.738236	-12.891257	-12.954568
2.190	0.653166	0.653166	0.653166	0.653166	-11.479881	-13.411790	-12.265605	-11.964805
2.200	3.232959	3.232959	3.232959	3.232959	-10.019747	-12.497743	-10.709930	-10.241884
2.210	5.682496	5.682496	5.682496	5.682496	-8.854747	-10.979771	-9.154254	-8.189042
2.220	7.903086	7.903086	7.903086	7.903086	-6.819879	-9.412832	-7.311117	-6.484450
2.230	9.805261	9.805261	9.805261	9.805261	-5.344212	-7.568415	-5.417251	-4.101687
2.240	11.312384	11.312384	11.312384	11.312384	-3.293811	-5.413874	-3.269743	-2.067174
2.250	12.363732	12.363732	12.363732	12.363732	-1.258944	-3.243011	-1.105325	0.663839
2.260	12.916946	12.916946	12.916946	12.916946	0.791457	-1.414916	1.380374	3.028273
