Time(s)	Delta1C(deg)	Delta2C(deg)	Delta3C(deg)	Delta4C(deg)	Delta1(deg)	Delta2(deg)	Delta3(deg)	Delta4(deg)
0.000	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.010	0.000000	0.000000	0.000000	0.000000	-1.588780	-0.243532	0.158931	-0.201911
0.020	0.000000	0.000000	0.000000	0.000000	-0.373544	0.772269	0.754722	0.993760
0.030	0.000000	0.000000	0.000000	0.000000	-0.373544	0.755947	0.737813	0.993760
0.040	0.000000	0.000000	0.000000	0.000000	-0.373544	0.755947	0.754722	1.012089
0.050	0.000000	0.000000	0.000000	0.000000	-0.668677	0.772269	0.484170	0.993760
0.060	0.000000	0.000000	0.000000	0.000000	-0.653144	0.755947	0.145979	0.663839
0.070	0.000000	0.000000	0.000000	0.000000	-0.948277	0.445824	0.129070	0.315589
0.080	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.014332
0.090	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.014332
0.100	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	-0.032661
0.110	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	0.315589
0.120	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.129070	-0.032661
0.130	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	-0.032661
0.140	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.175301	0.297260
0.150	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.162889	-0.032661
0.160	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.170	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.180	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.050990
0.190	0.000000	0.000000	0.000000	0.000000	-0.948277	0.119378	-0.175301	0.315589
0.200	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.014332
0.210	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.175301	-0.032661
0.220	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.145979	0.315589
0.230	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.145979	-0.032661
0.240	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.129070	-0.014332
0.250	0.000000	0.000000	0.000000	0.000000	-0.948277	0.119378	0.129070	0.315589
0.260	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	0.315589
0.270	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.280	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.158392	-0.032661
0.290	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.032661
0.300	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.032661
0.310	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.032661
0.320	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	-0.158392	-0.014332
0.330	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.014332
0.340	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	0.315589
0.350	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.360	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.162889	-0.032661
0.370	0.000000	0.000000	0.000000	0.000000	-1.243411	0.135701	0.145979	-0.014332
0.380	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	-0.032661
0.390	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	0.315589
0.400	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.175301	-0.032661
0.410	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.158392	-0.032661
0.420	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.014332
0.430	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.050990
0.440	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	-0.032661
0.450	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.460	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.158392	-0.032661
0.470	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.162889	-0.032661
0.480	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.490	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	-0.158392	-0.032661
0.500	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	-0.175301	-0.014332
0.510	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	0.297260
0.520	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.129070	-0.014332
0.530	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	0.145979	-0.032661
0.540	0.000000	0.000000	0.000000	0.000000	-0.963811	0.462146	-0.175301	-0.014332
0.550	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.032661
0.560	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	-0.158392	-0.050990
0.570	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.129070	-0.032661
0.580	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.162889	0.333918
0.590	0.000000	0.000000	0.000000	0.000000	-1.258944	0.135701	0.145979	0.297260
0.600	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.145979	-0.032661
0.610	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	-0.032661
0.620	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	-0.014332
0.630	0.000000	0.000000	0.000000	0.000000	-0.932744	0.152023	-0.175301	-0.032661
0.640	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.650	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	0.315589
0.660	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.129070	-0.014332
0.670	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	-0.014332
0.680	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.141778	0.129070	-0.032661
0.690	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.175301	-0.050990
0.700	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	-0.032661
0.710	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.720	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.129070	0.315589
0.730	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.129070	-0.050990
0.740	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.145979	0.297260
0.750	0.000000	0.000000	0.000000	0.000000	-1.243411	0.168345	0.129070	-0.032661
0.760	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.770	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.129070	-0.032661
0.780	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	0.145979	0.297260
0.790	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	-0.032661
0.800	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	-0.032661
0.810	0.000000	0.000000	0.000000	0.000000	-0.932744	-0.158100	0.129070	-0.014332
0.820	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	-0.175301	-0.014332
0.830	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	-0.014332
0.840	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.129070	-0.032661
0.850	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	-0.032661
0.860	0.000000	0.000000	0.000000	0.000000	-1.243411	0.152023	-0.175301	0.297260
0.870	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	0.297260
0.880	0.000000	0.000000	0.000000	0.000000	-0.932744	0.152023	-0.175301	-0.032661
0.890	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	-0.032661
0.900	0.000000	0.000000	0.000000	0.000000	-0.932744	0.152023	0.145979	-0.032661
0.910	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	-0.192211	-0.014332
0.920	0.000000	0.000000	0.000000	0.000000	-0.948277	-0.158100	0.129070	0.315589
0.930	0.000000	0.000000	0.000000	0.000000	-0.932744	0.152023	0.145979	-0.032661
0.940	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.050990
0.950	0.000000	0.000000	0.000000	0.000000	-0.963811	0.135701	0.145979	-0.014332
0.960	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.145979	-0.032661
0.970	0.000000	0.000000	0.000000	0.000000	-0.948277	0.135701	0.145979	-0.032661
0.980	0.000000	0.000000	0.000000	0.000000	-0.948277	0.152023	0.129070	-0.032661
0.990	0.000000	0.000000	0.000000	0.000000	-0.963811	0.152023	0.145979	-0.032661
1.000	0.000000	0.000000	0.000000	0.000000	-0.948277	0.119378	-0.175301	-0.032661
1.010	2.000000	2.000000	2.000000	2.000000	-0.963811	0.152023	0.145979	-0.032661
1.020	2.000000	2.000000	2.000000	2.000000	-0.948277	0.152023	-0.175301	-0.032661
1.030	2.000000	2.000000	2.000000	2.000000	-0.948277	0.135701	-0.175301	-0.050990
1.040	2.000000	2.000000	2.000000	2.000000	-0.668677	0.445824	0.129070	0.297260
1.050	2.000000	2.000000	2.000000	2.000000	-0.078410	0.755947	0.754722	1.323681
1.060	2.000000	2.000000	2.000000	2.000000	0.201190	1.376194	1.076003	1.653602
1.070	2.000000	2.000000	2.000000	2.000000	0.791457	1.702639	1.380374	1.671931
1.080	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.684745	2.001852
1.090	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.020181
1.100	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	2.001852
1.110	2.000000	2.000000	2.000000	2.000000	0.806990	2.012763	1.684745	2.020181
1.120	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.380374	2.020181
1.130	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.001852
1.140	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.684745	2.020181
1.150	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.380374	2.020181
1.160	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	2.020181
1.170	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.701655	2.020181
1.180	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.667836	2.001852
1.190	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	1.671931
1.200	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	1.653602
1.210	2.000000	2.000000	2.000000	2.000000	0.806990	2.012763	1.684745	2.020181
1.220	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.020181
1.230	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.380374	1.671931
1.240	2.000000	2.000000	2.000000	2.000000	0.806990	1.702639	1.380374	1.671931
1.250	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.684745	2.020181
1.260	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.684745	2.001852
1.270	2.000000	2.000000	2.000000	2.000000	0.791457	1.702639	1.684745	1.671931
1.280	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.684745	2.020181
1.290	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.701655	1.690260
1.300	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.380374	2.001852
1.310	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.020181
1.320	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.363465	2.020181
1.330	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	2.020181
1.340	2.000000	2.000000	2.000000	2.000000	0.511857	1.996440	1.701655	2.020181
1.350	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.684745	2.020181
1.360	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.684745	2.001852
1.370	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.701655	1.671931
1.380	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.701655	2.001852
1.390	2.000000	2.000000	2.000000	2.000000	0.511857	1.686317	1.701655	2.020181
1.400	2.000000	2.000000	2.000000	2.000000	0.511857	1.996440	1.397284	2.001852
1.410	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.020181
1.420	2.000000	2.000000	2.000000	2.000000	0.806990	2.012763	1.701655	2.020181
1.430	2.000000	2.000000	2.000000	2.000000	0.806990	2.012763	1.684745	2.001852
1.440	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.020181
1.450	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.380374	2.020181
1.460	2.000000	2.000000	2.000000	2.000000	0.791457	2.012763	1.684745	1.671931
1.470	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.701655	2.001852
1.480	2.000000	2.000000	2.000000	2.000000	0.791457	1.702639	1.684745	1.690260
1.490	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.380374	1.671931
1.500	2.000000	2.000000	2.000000	2.000000	0.822523	1.702639	1.380374	2.020181
1.510	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.684745	2.020181
1.520	2.000000	2.000000	2.000000	2.000000	0.806990	1.669995	1.363465	2.020181
1.530	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.020181
1.540	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.684745	1.671931
1.550	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.701655	2.020181
1.560	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.701655	2.001852
1.570	2.000000	2.000000	2.000000	2.000000	0.791457	1.669995	1.701655	2.020181
1.580	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.684745	2.001852
1.590	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.701655	2.001852
1.600	2.000000	2.000000	2.000000	2.000000	0.791457	1.702639	1.684745	2.001852
1.610	2.000000	2.000000	2.000000	2.000000	0.806990	2.012763	1.397284	2.020181
1.620	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.701655	2.020181
1.630	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.701655	2.020181
1.640	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	1.653602
1.650	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.701655	2.020181
1.660	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.001852
1.670	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	1.671931
1.680	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.684745	2.020181
1.690	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	1.671931
1.700	2.000000	2.000000	2.000000	2.000000	0.806990	1.669995	1.684745	2.020181
1.710	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.684745	2.001852
1.720	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
1.730	2.000000	2.000000	2.000000	2.000000	0.806990	1.669995	1.380374	2.001852
1.740	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.363465	2.038510
1.750	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	2.001852
1.760	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.380374	2.001852
1.770	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.684745	2.020181
1.780	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.667836	2.020181
1.790	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
1.800	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.380374	2.001852
1.810	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	2.020181
1.820	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.363465	1.671931
1.830	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.701655	1.671931
1.840	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.684745	2.001852
1.850	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.684745	2.001852
1.860	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.684745	1.671931
1.870	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.684745	1.653602
1.880	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
1.890	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
1.900	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
1.910	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.363465	2.001852
1.920	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	1.653602
1.930	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.380374	2.020181
1.940	2.000000	2.000000	2.000000	2.000000	0.791457	1.980118	1.684745	1.653602
1.950	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
1.960	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.380374	1.671931
1.970	2.000000	2.000000	2.000000	2.000000	0.806990	1.686317	1.684745	2.001852
1.980	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.001852
1.990	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.684745	1.671931
2.000	2.000000	2.000000	2.000000	2.000000	0.806990	1.669995	1.684745	1.671931
2.010	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.701655	2.001852
2.020	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	1.671931
2.030	2.000000	2.000000	2.000000	2.000000	0.822523	1.669995	1.667836	2.020181
2.040	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.001852
2.050	2.000000	2.000000	2.000000	2.000000	0.527390	1.996440	1.701655	1.653602
2.060	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	1.690260
2.070	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.020181
2.080	2.000000	2.000000	2.000000	2.000000	0.511857	1.996440	1.701655	2.001852
2.090	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.020181
2.100	2.000000	2.000000	2.000000	2.000000	0.791457	1.686317	1.684745	1.671931
2.110	2.000000	2.000000	2.000000	2.000000	0.822523	1.996440	1.380374	2.020181
2.120	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.701655	2.020181
2.130	2.000000	2.000000	2.000000	2.000000	0.806990	1.702639	1.684745	2.020181
2.140	2.000000	2.000000	2.000000	2.000000	0.791457	1.996440	1.701655	2.020181
2.150	2.000000	2.000000	2.000000	2.000000	0.806990	1.669995	1.684745	2.020181
2.160	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.684745	2.020181
2.170	2.000000	2.000000	2.000000	2.000000	0.527390	1.996440	1.701655	2.001852
2.180	2.000000	2.000000	2.000000	2.000000	0.822523	1.996440	1.684745	2.038510
2.190	2.000000	2.000000	2.000000	2.000000	0.822523	1.980118	1.701655	2.020181
2.200	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	1.690260
2.210	2.000000	2.000000	2.000000	2.000000	0.822523	1.980118	1.701655	2.001852
2.220	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.701655	2.020181
2.230	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.020181
2.240	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.020181
2.250	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.701655	2.020181
2.260	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	1.671931
2.270	2.000000	2.000000	2.000000	2.000000	0.822523	1.669995	1.701655	2.001852
2.280	2.000000	2.000000	2.000000	2.000000	0.527390	1.996440	1.684745	2.001852
2.290	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.667836	2.001852
2.300	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
2.310	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
2.320	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.363465	2.001852
2.330	2.000000	2.000000	2.000000	2.000000	1.102123	1.686317	1.667836	2.001852
2.340	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.684745	2.001852
2.350	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
2.360	2.000000	2.000000	2.000000	2.000000	0.806990	1.980118	1.380374	2.001852
2.370	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.363465	2.001852
2.380	2.000000	2.000000	2.000000	2.000000	0.511857	1.996440	1.684745	1.653602
2.390	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
2.400	2.000000	2.000000	2.000000	2.000000	0.822523	1.686317	1.684745	2.001852
2.410	2.000000	2.000000	2.000000	2.000000	0.806990	1.996440	1.684745	2.001852
